"dp_id","dp_name","dp_cust_id","dp_desc","dp_img1","dp_img2","dp_img3","dp_video","dp_qty","dp_cat_id","dp_cat_sub_id","dp_status","dp_datetime","dp_brand","dp_featured","dp_featured_date","dp_featured_outofstock","dp_featured_time","dp_pack_type","dp_pack_qnty"
"44","f109","20190818060540",,"20200924011203_5f6c4dcb510ca.jpg",,,,"1","6","5","1","2019-08-18 06:06 pm",,"0",,"0","20201004124346","Box","50"
"45","f110","20190818060605",,"20190818060629_5d59464d91487.jpg",,,,"1","6","5","0","2019-08-18 06:06 pm",,"0",,"0",,,
"46","f111","20190818060629",,"20220714033031_62cfe93fb16e2.jpg",,,,"1","0","5","0","2019-08-18 06:06 pm","0","0",,"0",,,"0"
"47","f36","20190818061024",,"20200924010634_5f6c4c8287937.jpg",,,,"-50","6","5","1","2019-08-18 06:10 pm",,"0",,"0","20201004124346","Box","50"
"48","f37","20190818061050",,"20200924010634_5f6c4c8287fc2.jpg",,,,"1","6","5","1","2019-08-18 06:11 pm",,"0",,"0","20201004124346","Box","50"
"49","f38","20190818061138",,"20200924010634_5f6c4c8288c77.jpg",,,,"-151","6","5","1","2019-08-18 06:13 pm",,"0",,"0","20201004124346","Box","50"
"50","f39","20190818061347",,"20200924010634_5f6c4c8289d4b.jpg",,,,"1","6","5","1","2019-08-18 06:15 pm",,"0",,"0","20201004124346","Box","50"
"51","f945","20190818061518",,"20190818061616_5d594898eae19.jpg",,,,"2","6","5","1","2019-08-18 06:16 pm",,"0",,"0","20201004124347","Box","50"
"52","f40","20190818061616",,"20200924010634_5f6c4c828af22.jpg",,,,"1","6","5","1","2019-08-18 06:16 pm",,"0",,"0","20201004124346","Box","50"
"53","f112","20190818061640",,"20200924011203_5f6c4dcb52d54.jpg",,,,"-12","6","5","1","2019-08-18 06:17 pm",,"0",,"0","20201004124346","Box","50"
"54","f42","20190818061717",,"20200924010634_5f6c4c828cd36.jpg",,,,"-49","6","5","1","2019-08-18 06:17 pm",,"0",,"0","20201004124346","Box","50"
"55","f43","20190818062008",,"20200924010634_5f6c4c828d9d3.jpg",,,,"1","6","5","1","2019-08-18 06:20 pm",,"0",,"0","20201004124346","Box","50"
"56","f950","20190818062033",,"20190818062055_5d5949af28920.jpg",,,,"1","6","5","1","2019-08-18 06:20 pm",,"0",,"0","20201004124347","Box","50"
"57","f44","20190818062055",,"20200924010634_5f6c4c828e5c7.jpg",,,,"-49","6","5","1","2019-08-18 06:21 pm",,"0",,"0","20201004124346","Box","50"
"58","f45","20190818062116",,"20200924010634_5f6c4c828eba4.jpg",,,,"1","6","5","1","2019-08-18 06:21 pm",,"0",,"0","20201004124346","Box","50"
"59","f46","20190818062137",,"20200924010634_5f6c4c828f77b.jpg",,,,"1","6","5","1","2019-08-18 06:21 pm",,"0",,"0","20201004124346","Box","50"
"60","f47","20190818062156",,"20200924010634_5f6c4c8290418.jpg",,,,"1","6","5","1","2019-08-18 06:24 pm",,"0",,"0","20201004124346","Box","50"
"61","f955","20190818062440",,"20190818062617_5d594af14bf00.jpg",,,,"1","6","5","1","2019-08-18 06:26 pm",,"0",,"0","20201004124347","Box","50"
"62","f48","20190818062617",,"20200924010634_5f6c4c8290e95.jpg",,,,"-99","6","5","1","2019-08-18 06:26 pm",,"0",,"0","20201004124346","Box","50"
"63","f49","20190818062638",,"20200924010634_5f6c4c8291b4c.jpg",,,,"-1","6","5","1","2019-08-18 06:26 pm",,"0",,"0","20201004124346","Box","50"
"64","f50","20190818062658",,"20200924010634_5f6c4c82927ea.jpg",,,,"-49","6","5","1","2019-08-18 06:27 pm",,"0",,"0","20201004124346","Box","50"
"65","f51","20190818062742",,"20200924010634_5f6c4c8293410.jpg",,,,"-1","6","5","1","2019-08-18 06:28 pm",,"0",,"0","20201004124346","Box","50"
"66","f52","20190818062803",,"20200307032140_5e636eace6720.jpg",,,,"1","6","5","1","2019-08-18 06:29 pm",,"0",,"0","20201004124346","Box","50"
"67","f53","20190818062935",,"20200924010634_5f6c4c8297b1f.jpg",,,,"-49","6","5","1","2019-08-18 06:29 pm",,"0",,"0","20201004124346","Box","50"
"68","f54","20190818062958",,"20200924010634_5f6c4c829882f.jpg",,,,"-49","6","5","1","2019-08-18 06:31 pm",,"0",,"0","20201004124346","Box","50"
"69","f55","20190818063109",,"20200924010634_5f6c4c82994cd.jpg",,,,"1","6","5","1","2019-08-18 06:32 pm",,"0",,"0","20201004124346","Box","50"
"70","f56","20190818063249",,"20200924010634_5f6c4c829a13f.jpg",,,,"1","6","5","1","2019-08-18 06:33 pm",,"0",,"0","20201004124346","Box","50"
"71","f58","20190818063312",,"20200924010634_5f6c4c829b3f1.jpg",,,,"-49","6","5","1","2019-08-18 06:33 pm",,"0",,"0","20201004124346","Box","50"
"72","f58","20190818063356",,"20190818063533_5d594d1de1428.jpg",,,,"1","6","5","0","2019-08-18 06:35 pm",,"0",,"0",,,
"73","f59","20190818063533",,"20200924010634_5f6c4c829c03c.jpg",,,,"1","6","5","1","2019-08-18 06:36 pm",,"0",,"0","20201004124346","Box","50"
"74","f60","20190818064052",,"20200924010634_5f6c4c829c62a.jpg",,,,"0","6","5","1","2019-08-18 06:41 pm",,"0",,"0","20201004124346","Box","50"
"75","f202","20190818064149",,"20200924012356_5f6c5094d0dac.jpg",,,,"1","6","5","1","2019-08-18 06:42 pm","0","0",,"0","20201004124347","Box","50"
"76","f203","20190818064209",,"20200924012356_5f6c5094d133e.jpg",,,,"1","6","5","1","2019-08-18 06:42 pm","0","0",,"0","20201004124347","Box","50"
"77","f204","20190818064238",,"20200924012356_5f6c5094d1f3f.jpg",,,,"1","6","5","1","2019-08-18 06:43 pm","0","0",,"0","20201004124347","Box","50"
"78","f205","20190818064301",,"20200924012356_5f6c5094d2aa4.jpg",,,,"1","6","5","1","2019-08-18 06:43 pm","0","0",,"0","20201004124347","Box","50"
"79","f206","20190818064326",,"20200924012356_5f6c5094d305c.jpg",,,,"1","6","5","1","2019-08-18 06:44 pm","0","0",,"0","20201004124347","Box","50"
"80","f207","20190818064435",,"20200924012356_5f6c5094d3a47.jpg",,,,"1","6","5","1","2019-08-18 06:45 pm","0","0",,"0","20201004124347","Box","50"
"81","f367","20190819064534",,"20200924014231_5f6c54ef3977e.jpg",,,,"2","6","5","1","2019-08-19 06:46 pm","0","0",,"0","20201004124347","Box","50"
"82","f208","20190819064658",,"20200924012356_5f6c5094d3f6f.jpg",,,,"2","6","5","1","2019-08-19 06:47 pm","0","0",,"0","20201004124347","Box","50"
"83","f209","20190819064756",,"20200924012356_5f6c5094d4c11.jpg",,,,"2","6","5","1","2019-08-19 06:48 pm","0","0",,"0","20201004124347","Box","50"
"84","f210","20190819064853",,"20200924012356_5f6c5094d5188.jpg",,,,"2","6","5","1","2019-08-19 06:50 pm","0","0",,"0","20201004124347","Box","50"
"85","f70","20190819065015",,"20200924011203_5f6c4dcb35ee8.jpg",,,,"2","6","5","1","2019-08-19 06:51 pm",,"0",,"0","20201004124346","Box","50"
"86","f71","20190819065116",,"20200924011203_5f6c4dcb36b4c.jpg",,,,"-48","6","5","1","2019-08-19 06:52 pm",,"0",,"0","20201004124346","Box","50"
"87","f72","20190819065218",,"20200924011203_5f6c4dcb37e35.jpg",,,,"2","6","5","1","2019-08-19 06:54 pm",,"0",,"0","20201004124346","Box","50"
"88","f73","20190819065418",,"20200924011203_5f6c4dcb38c2f.jpg",,,,"-48","6","5","1","2019-08-19 06:55 pm",,"0",,"0","20201004124346","Box","50"
"89","f74","20190819065507",,"20200924011203_5f6c4dcb39740.jpg",,,,"2","6","5","1","2019-08-19 06:55 pm",,"0",,"0","20201004124346","Box","50"
"90","f313","20190819065545",,"20200924013122_5f6c52523bdc7.jpg",,,,"2","6","5","1","2019-08-19 06:56 pm","0","0",,"0","20201004124347","Box","50"
